id_usuario,fecha,consumo_kwh,consumo_esperado_kwh,variacion_pct
0,2023-12-31 12:16:35.649337,237.51994167678873,284.53297672388817,-16.522877449358376
0,2024-01-31 12:16:35.649337,371.1958975456605,297.54125422726065,24.75443061154228
0,2024-02-29 12:16:35.649337,205.20919476131894,312.88994105320216,-34.414895515472566
0,2024-03-31 12:16:35.649337,365.41963439658264,320.0935853326681,14.160249108649865
0,2024-04-30 12:16:35.649337,472.2809387429116,313.887731535984,50.46173879808661
0,2024-05-31 12:16:35.649337,318.1625740434144,276.39288646179415,15.112432203422166
0,2024-06-30 12:16:35.649337,301.15861620079966,287.3494637511984,4.805699745992183
0,2024-07-31 12:16:35.649337,374.31626918653575,304.25698341645625,23.026352586354545
0,2024-08-31 12:16:35.649337,296.56966900806697,321.3157026882514,-7.701470383535431
0,2024-09-30 12:16:35.649337,272.92742586514674,297.9547730550468,-8.39971346432376
0,2024-10-31 12:16:35.649337,402.4274792060696,313.65732768183045,28.301634838350196
0,2024-11-30 12:16:35.649337,359.08679960237464,305.0482184484147,17.71476700595719
0,2024-12-31 12:16:35.649337,229.29787894993115,293.79794027322276,-21.95388479010731
0,2025-01-31 12:16:35.649337,348.3095872379878,303.71181430382023,14.684240399536733
0,2025-02-28 12:16:35.649337,311.4790593703438,312.495013269232,-0.3251104356065028
0,2025-03-31 12:16:35.649337,464.7431888268517,325.4304476720401,42.80876056662257
0,2025-04-30 12:16:35.649337,376.7547492836311,321.2294428761653,17.285248173490412
0,2025-05-31 12:16:35.649337,247.45388306467237,292.30489579364894,-15.343914308106186
0,2025-06-30 12:16:35.649337,431.0568189648004,287.9214984341297,49.713314674005495
0,2025-07-31 12:16:35.649337,115.46560987981448,294.46213844799183,-60.78762095242743
0,2025-08-31 12:16:35.649337,292.74720317057205,313.3030869606789,-6.561021785491289
0,2025-09-30 12:16:35.649337,156.9181887740241,281.2090325334488,-44.198738084503304
0,2025-10-31 12:16:35.649337,287.8501925843088,326.82682653116836,-11.92577560432987
0,2025-11-30 12:16:35.649337,372.7551146161863,302.7162471296331,23.13680489589324
